Deutsches Wort (German)	Bedeutung (English)	Beispielsatz (German)	Übersetzung (English)
die Antwort	answer	Er gibt leider keine Antwort.	Unfortunately he gives no answer.
die Anzeige	advertisement / notice	Ich habe Ihre Anzeige in der Zeitung gelesen.	I read your advert in the newspaper.
(sich) anziehen	to get dressed / put on	Ich muss mich noch anziehen.	I still have to get dressed.
das Apartment	apartment	Wir haben ein Apartment gemietet.	We rented an apartment.
der Apfel	apple	Ein Pfund Äpfel bitte.	A pound of apples, please.
der Appetit	appetite	Guten Appetit!	Enjoy your meal!
arbeiten	to work	Wo arbeiten Sie?	Where do you work?
die Arbeit	work / job	Mein Bruder sucht Arbeit.	My brother is looking for work.
arbeitslos	unemployed	Es gibt bei uns viele Leute, die arbeitslos sind.	There are many people here who are unemployed.
der Arbeitsplatz	workplace / job	An meinem Arbeitsplatz fehlt ein Drucker.	At my workplace a printer is missing.
der Arm	arm	Mein Arm tut weh.	My arm hurts.
der Arzt	doctor	Morgen habe ich einen Termin bei meiner Ärztin.	Tomorrow I have an appointment with my doctor.
auch	also / too	Ich bin auch Spanier.	I'm Spanish too.
auf	on / onto / open	Die Kinder spielen auf der Straße.	The children are playing in the street.
die Aufgabe	task / exercise	Das ist eine schwere Aufgabe.	That's a difficult task.
aufhören	to stop / end	Der Kurs hört in einer Woche auf.	The course ends in a week.
auf sein	to be open	Die Wohnung ist auf.	The flat is open.
aufstehen	to get up / stand up	Ich muss immer um vier Uhr aufstehen.	I always have to get up at four o'clock.
der Aufzug	lift / elevator	In diesem Haus gibt es keinen Aufzug.	There's no lift in this building.
das Auge	eye	Er hat blaue Augen.	He has blue eyes.
aus	from / out of / off	Er kommt aus Brasilien.	He comes from Brazil.
der Ausflug	excursion / trip	Morgen machen wir einen Ausflug nach Heidelberg.	Tomorrow we're going on a trip to Heidelberg.
ausfüllen	to fill in / out	Füllen Sie bitte dieses Formular aus.	Please fill in this form.
der Ausgang	exit	Wo ist der Ausgang?	Where is the exit?
die Auskunft	information	Können Sie mir eine Auskunft geben?	Can you give me some information?
das Ausland	abroad	Fahren Sie ins Ausland?	Are you going abroad?
der Ausländer	foreigner	Sind Sie Ausländerin?	Are you a foreigner?
ausländisch	foreign	Leider habe ich nur ausländisches Geld.	Unfortunately I only have foreign money.
ausmachen	to switch off	Mach bitte das Licht aus!	Please turn off the light!
die Aussage	statement	Ist die Aussage richtig oder falsch?	Is the statement true or false?
aussehen	to look / appear	Das sieht schön aus.	That looks nice.
aus sein	to be off / over	Die Schule ist aus.	School is over.
aussteigen	to get off / out	Wo muss ich aussteigen?	Where do I have to get off?
der Ausweis	ID card	Hier ist mein Ausweis.	Here is my ID.
(sich) ausziehen	to take off / get undressed	Zieh die Schuhe aus, bitte!	Take off your shoes, please!
das Auto	car	Er kommt mit dem Auto.	He's coming by car.
die Autobahn	motorway / highway	Wo geht's hier bitte zur Autobahn?	How do I get to the motorway from here, please?
der Automat	vending / ticket machine	Die Fahrkarten gibt es nur am Automaten.	The tickets are only available at the machine.
automatisch	automatic(ally)	Das geht automatisch.	That works automatically.

--- B ---			
das Baby	baby	Mein Kind ist noch ein Baby.	My child is still a baby.
die Bäckerei	bakery	Ich geh mal schnell zur Bäckerei.	I'll just pop to the bakery.
das Bad	bathroom / bath	Wir haben kein großes Bad.	We don't have a big bathroom.
baden	to bathe / have a bath	Ich bade nicht so gern, ich dusche lieber.	I don't like bathing much, I prefer to shower.
die Bahn	train / railway	Wir fahren lieber mit der Bahn.	We prefer to travel by train.
der Bahnhof	(train) station	Komme ich hier zum Bahnhof?	Will I get to the station this way?
der Bahnsteig	platform	Auf welchem Bahnsteig fährt der Zug?	Which platform does the train leave from?
bald	soon	Ich komme bald.	I'm coming soon.
der Balkon	balcony	Die Wohnung hat auch einen kleinen Balkon.	The flat also has a small balcony.
die Banane	banana	Drei Bananen, bitte!	Three bananas, please!
die Bank	bank / bench	Die Bank schließt schon um vier Uhr.	The bank closes at four o'clock already.
bar	cash	Muss ich bar zahlen oder geht's auch mit Karte?	Do I have to pay cash or is card also okay?
der Bauch	belly / stomach	Seit gestern tut mir der Bauch weh.	My stomach has hurt since yesterday.
der Baum	tree	Vorsicht, fahr nicht an den Baum!	Careful, don't drive into the tree!
der Beamte	official / civil servant	Fragen Sie die Beamtin an Schalter acht!	Ask the official at counter eight!
bedeuten	to mean	Was bedeutet das Wort?	What does the word mean?
beginnen	to begin / start	Das Spiel beginnt um 15.30 Uhr.	The game begins at 3:30 pm.
bei	at / near / with	Ich wohne bei meinen Eltern.	I live with my parents.
beide	both	Wir kommen beide.	We're both coming.
das Bein	leg	Mein rechtes Bein tut weh.	My right leg hurts.
das Beispiel	example	Kannst du mir ein Beispiel sagen?	Can you give me an example?
zum Beispiel	for example	Viele meiner Verwandten, z. B. meine Brüder, arbeiten hier.	Many of my relatives, e.g. my brothers, work here.
bekannt	well-known / famous	Picasso ist sehr bekannt.	Picasso is very famous.
der/die Bekannte	acquaintance	Ein Bekannter von mir heißt Klaus.	An acquaintance of mine is called Klaus.
bekommen	to get / receive	Haben Sie meinen Brief bekommen?	Did you get my letter?
benutzen	to use	Die Aufzüge bitte nicht benutzen!	Please do not use the lifts!
der Beruf	job / profession	Was sind Sie von Beruf?	What is your profession?
besetzt	occupied / busy	Der Platz ist besetzt.	The seat is taken.
besichtigen	to visit / tour (sights)	Ich möchte gern den Dom besichtigen.	I'd like to visit the cathedral.
besser	better	Es geht mir schon besser.	I'm feeling better already.
best-	best	Am besten treffen wir uns morgen.	It's best if we meet tomorrow.
bestellen	to order	Wir möchten bestellen, bitte.	We'd like to order, please.
besuchen	to visit	Darf ich dich besuchen?	May I visit you?
das Bett	bed	Wir brauchen noch ein Kinderbett.	We still need a child's bed.
bezahlen	to pay	Wo muss ich bezahlen?	Where do I have to pay?
das Bier	beer	Noch ein Bier bitte.	Another beer, please.
das Bild	picture	Hast du ein Bild von deinem Sohn?	Do you have a picture of your son?
billig	cheap	Die Jacke kostet nur 10 Euro! Die ist aber billig!	The jacket costs only 10 euros! That's cheap!
die Birne	pear / light bulb	Ein Kilo Birnen, bitte!	A kilo of pears, please!
bis	until / to	Ich fahre nur bis Stuttgart.	I'm only going as far as Stuttgart.
bisschen	a bit / a little	Ich spreche ein bisschen Deutsch.	I speak a little German.
bitte	please / you're welcome	Eine Tasse Kaffee, bitte!	A cup of coffee, please!
die Bitte	request	Ich habe noch eine Bitte.	I have one more request.
bitten	to ask (for) / request	Darf ich Sie um etwas bitten?	May I ask you for something?
bitter	bitter	Der Kaffee schmeckt bitter.	The coffee tastes bitter.
bleiben	to stay / remain	Ich bleibe heute zu Hause.	I'm staying home today.
der Bleistift	pencil	Hast du einen Bleistift?	Do you have a pencil?
der Blick	view / look	Von diesem Hotel hat man einen guten Blick auf den Rhein.	From this hotel you have a good view of the Rhine.
die Blume	flower	Gefallen dir die Blumen?	Do you like the flowers?
der Bogen	sheet (of paper)	Schreiben Sie Ihre Lösungen auf den Antwortbogen.	Write your answers on the answer sheet.
böse	angry / nasty	Sie ist böse auf mich.	She's angry with me.
brauchen	to need	Brauchst du die Zeitung noch?	Do you still need the newspaper?
breit	wide / broad	Wie breit ist der Schrank?	How wide is the cupboard?
der Brief	letter	Haben Sie einen Brief für mich?	Do you have a letter for me?
die Briefmarke	stamp	Kaufst du bitte Briefmarken bei der Post.	Please buy stamps at the post office.
bringen	to bring	Bringen Sie mir bitte noch einen Kaffee!	Please bring me another coffee!
das Brot	bread	Haben Sie auch Weißbrot?	Do you also have white bread?
das Brötchen	bread roll	Möchtest du Brötchen zum Frühstück?	Would you like rolls for breakfast?
der Bruder	brother	Sein Bruder arbeitet auch hier.	His brother also works here.
das Buch	book	Gute Bücher sind oft sehr teuer.	Good books are often very expensive.
der Buchstabe	letter (of the alphabet)	Diesen Buchstaben gibt es in meiner Sprache nicht.	This letter doesn't exist in my language.
buchstabieren	to spell	Bitte buchstabieren Sie Ihren Namen.	Please spell your name.
der Bus	bus	Wann kommt der nächste Bus?	When does the next bus come?
die Butter	butter	Ein Brötchen mit Butter und Käse, bitte.	A roll with butter and cheese, please.

--- C ---			
das Café	café	Sollen wir uns im Café treffen?	Shall we meet at the café?
die CD	CD	Bring bitte deine Lieblings-CD mit.	Please bring your favourite CD.
der Chef	boss	Wir haben eine neue Chefin.	We have a new boss.
circa / ca.	approximately / about	Von Mainz nach Frankfurt sind es circa fünfzig Kilometer.	From Mainz to Frankfurt it's about fifty kilometres.
der Computer	computer	Wann bekommst du deinen neuen Computer?	When do you get your new computer?

--- D ---			
da	there / here / then	Ist Herr Klein schon da?	Is Mr Klein here already?
die Dame	lady	Sehr geehrte Damen und Herren!	Dear ladies and gentlemen!
daneben	next to it / beside	Du kennst die Post. Daneben ist die Bank.	You know the post office. The bank is next to it.
danken	to thank	Ich danke Ihnen für die Einladung.	I thank you for the invitation.
der Dank	thanks	Vielen Dank!	Many thanks!
danke	thank you	Soll ich Ihnen helfen? - Nein, danke!	Shall I help you? - No, thank you!
dann	then	Ich muss noch zur Post, dann komme ich.	I still have to go to the post office, then I'll come.
das Datum	date	Bitte schreiben Sie das Datum auf das Formular.	Please write the date on the form.
dauern	to last / take (time)	Wie lange dauert der Film?	How long does the film last?
dein-	your	Ist das dein Auto?	Is that your car?
denn	because / for	Ich kann nicht kommen, denn ich bin krank.	I can't come, because I'm ill.
der, die, das	the / that one	Hier ist der Brief, den du suchst.	Here is the letter you're looking for.
dich	you (accusative)	Die Blumen sind für dich.	The flowers are for you.
dies-	this	Ich nehme lieber diesen Kuchen.	I'd rather have this cake.
dir	you (dative) / to you	Gefallen dir die Blumen?	Do you like the flowers?
die Disco	disco / club	Heute Abend gehen wir in die Disco tanzen.	Tonight we're going dancing at the club.
der Doktor	doctor	Meine Tochter ist krank. Wir gehen zum Doktor.	My daughter is ill. We're going to the doctor.
das Doppelzimmer	double room	Wollen Sie ein Doppelzimmer oder ein Einzelzimmer?	Do you want a double or a single room?
das Dorf	village	Meine Familie lebt in einem Dorf.	My family lives in a village.
dort	there	Dort ist unser Haus.	There is our house.
draußen	outside	Wollen wir draußen sitzen?	Shall we sit outside?
drucken	to print	Bitte drucke das Formular für mich.	Please print the form for me.
der Drucker	printer	Mein Drucker ist kaputt.	My printer is broken.
drücken	to press / push	Drück hier, dann geht der Computer an.	Press here, then the computer turns on.
durch	through	Am besten gehen Sie durch die Breite Straße.	It's best to go through Breite Straße.
die Durchsage	announcement	Ich habe die Durchsage nicht verstanden.	I didn't understand the announcement.
dürfen	to be allowed to / may	Sie dürfen hier nicht rauchen.	You must not smoke here.
der Durst	thirst	Ich habe großen Durst.	I'm very thirsty.
(sich) duschen	to shower	Ich bade nicht so gern, ich dusche lieber.	I don't like baths, I prefer to shower.
die Dusche	shower	Unsere Wohnung hat nur eine Dusche.	Our flat only has a shower.

--- E ---			
die Ecke	corner	An der nächsten Ecke links.	Left at the next corner.
die Ehefrau / der Ehemann	wife / husband	Das ist mein (Ehe-)Mann / meine (Ehe-)Frau.	This is my husband / my wife.
das Ei	egg	Möchtest du ein Ei zum Frühstück?	Would you like an egg for breakfast?
eilig	urgent / in a hurry	Hast du es eilig?	Are you in a hurry?
ein-	a / one	Ich nehme ein Bier. Willst du auch eins?	I'll have a beer. Do you want one too?
einfach	simple / single	Die Prüfung ist ganz einfach.	The exam is quite easy.
der Eingang	entrance	Der Eingang ist um die Ecke.	The entrance is around the corner.
einkaufen	to shop / go shopping	Ich muss noch für morgen einkaufen.	I still have to shop for tomorrow.
einladen	to invite	Darf ich Sie zu einem Kaffee einladen?	May I invite you for a coffee?
die Einladung	invitation	Danke für die Einladung!	Thanks for the invitation!
einmal	once	Diese Prüfung mache ich nicht noch einmal.	I won't do this exam again.
einsteigen	to get in / board	Schnell, steig ein, der Zug fährt gleich.	Quick, get in, the train leaves in a moment.
der Eintritt	entry / admission	Der Preis für den Eintritt ist 5 Euro.	The price for admission is 5 euros.
das Einzelzimmer	single room	Haben Sie noch ein Einzelzimmer?	Do you still have a single room?
die Eltern	parents	Meine Eltern leben in Spanien.	My parents live in Spain.
die E-Mail	email	Ich habe Ihre E-Mail nicht bekommen.	I didn't get your email.
der Empfänger	recipient / addressee	Auf dem Brief steht dein Name, also bist du der Empfänger.	Your name is on the letter, so you're the recipient.
empfehlen	to recommend	Welchen Wein können Sie mir empfehlen?	Which wine can you recommend to me?
enden	to end	Die Straße endet hier.	The street ends here.
das Ende	end	Sie wohnt am Ende der Straße.	She lives at the end of the street.
entschuldigen	to excuse	Entschuldigen Sie bitte!	Excuse me, please!
die Entschuldigung	apology / excuse me	Entschuldigung! - Bitte.	Sorry! - That's okay.
er	he	Er heißt Ali.	His name is Ali.
das Ergebnis	result	Das Ergebnis des Tests bekommen Sie in zwei Wochen.	You'll get the result of the test in two weeks.
erklären	to explain	Kannst du mir das erklären?	Can you explain that to me?
erlauben	to allow / permit	Rauchen ist hier nicht erlaubt.	Smoking is not allowed here.
der Erwachsene	adult	Dieser Film ist nur für Erwachsene.	This film is only for adults.
erzählen	to tell / narrate	Wir müssen euch etwas erzählen!	We have to tell you something!
es	it	Es regnet.	It's raining.
essen	to eat	Was gibt es zu essen?	What is there to eat?
das Essen	food / meal	Das Essen ist heute sehr gut.	The food is very good today.
euer	your (plural)	Euer Kurs beginnt heute.	Your course starts today.

--- F ---			
fahren	to drive / travel / go	Ich fahre mit dem Auto zur Arbeit.	I drive to work by car.
der Fahrer	driver	Bitte nicht mit dem Fahrer sprechen!	Please do not talk to the driver!
die Fahrkarte	ticket	Hast du schon eine Fahrkarte?	Do you already have a ticket?
das Fahrrad	bicycle	Fährst du mit dem Fahrrad oder mit dem Auto?	Are you going by bike or by car?
falsch	wrong / false	Das ist falsch.	That's wrong.
die Familie	family	Meine Familie lebt in Spanien.	My family lives in Spain.
der Familienname	surname / family name	Meine Familiennamen sind García González.	My surnames are García González.
der Familienstand	marital status	Bei "Familienstand" musst du "ledig" ankreuzen.	For "marital status" you have to tick "single".
die Farbe	colour	Die Farbe gefällt mir gut.	I like the colour.
das Fax	fax	Schicken Sie uns einfach ein Fax!	Just send us a fax!
Feier-	celebration / holiday (prefix)	Am Montag ist Feiertag.	Monday is a public holiday.
feiern	to celebrate	Wir feiern heute meinen Geburtstag.	We're celebrating my birthday today.
fehlen	to be missing / absent	Er fehlt schon seit drei Tagen.	He's been absent for three days.
der Fehler	mistake / error	Diesen Fehler mache ich immer.	I always make this mistake.
fernsehen	to watch TV	Wollen wir heute Abend mal fernsehen?	Shall we watch TV tonight?
fertig	ready / finished	Bist du fertig?	Are you ready?
das Feuer	fire / a light	Haben Sie Feuer?	Do you have a light?
das Fieber	fever	Mein Mann hat noch immer Fieber.	My husband still has a fever.
der Film	film / movie	Ich möchte gern diesen Film sehen.	I'd like to see this film.
finden	to find / think	Wir müssen den Schlüssel finden.	We have to find the key.
die Firma	company / firm	Er arbeitet jetzt bei einer anderen Firma.	He now works at a different company.
der Fisch	fish	Ich esse gern Fisch.	I like eating fish.
die Flasche	bottle	Eine Flasche Bier, bitte.	A bottle of beer, please.
das Fleisch	meat	Fleisch mag ich nicht.	I don't like meat.
fliegen	to fly	Ich fliege nicht gern.	I don't like flying.
abfliegen	to take off / depart (flight)	Wann fliegst du ab?	When do you fly off?
der Abflug	departure (flight)	Der Abflug ist um 11.20 Uhr.	The departure is at 11:20.
der Flughafen	airport	Kannst du mich zum Flughafen bringen?	Can you take me to the airport?
das Flugzeug	aeroplane	Das Flugzeug aus Berlin kommt heute später an.	The plane from Berlin arrives later today.
das Formular	form	Sie müssen dieses Formular ausfüllen.	You have to fill in this form.
das Foto	photo	Darf ich ein Foto machen?	May I take a photo?
fragen	to ask	Er möchte Sie etwas fragen.	He'd like to ask you something.
die Frage	question	Ich habe eine Frage.	I have a question.
die Frau	woman / Mrs / wife	Das ist Frau Becker.	This is Mrs Becker.
frei	free / vacant	Ist der Platz noch frei?	Is this seat still free?
die Freizeit	free time / leisure	In meiner Freizeit spiele ich oft Fußball.	In my free time I often play football.
fremd	foreign / strange	Das weiß ich nicht; ich bin fremd hier.	I don't know that; I'm a stranger here.
(sich) freuen	to be glad / look forward to	Ich freue mich auf den Urlaub.	I'm looking forward to the holiday.
der Freund	friend	Das ist ein Freund von mir.	That's a friend of mine.
früher	earlier / in the past	Früher waren wir oft zusammen im Kino.	In the past we often went to the cinema together.
frühstücken	to have breakfast	Am Sonntag frühstücke ich gern im Bett.	On Sundays I like to have breakfast in bed.
das Frühstück	breakfast	Möchtest du ein Ei zum Frühstück?	Would you like an egg for breakfast?
die Führung	guided tour	Die Führung durch das Haus beginnt in 3 Minuten.	The tour of the house begins in 3 minutes.
für	for	Das ist für Sie.	That's for you.
der Fuß	foot	Der linke Fuß tut mir weh.	My left foot hurts.
der Fußball	football	Spielt ihr gerne Fußball?	Do you like playing football?

--- G ---			
der Garten	garden	Wir haben leider keinen Garten.	Unfortunately we don't have a garden.
der Gast	guest	Am Wochenende haben wir mehrere Gäste.	At the weekend we have several guests.
geben	to give	Kannst du mir deinen Kugelschreiber geben?	Can you give me your pen?
geboren	born	Ich bin in Zagreb geboren.	I was born in Zagreb.
das Geburtsjahr	year of birth	Das Geburtsjahr Ihres Sohnes, bitte?	Your son's year of birth, please?
der Geburtsort	place of birth	Bitte schreiben Sie Ihren Geburtsort auf das Formular.	Please write your place of birth on the form.
der Geburtstag	birthday	Herzlichen Glückwunsch zum Geburtstag!	Happy birthday!
gefallen	to please / like	Das gefällt mir.	I like that.
gegen	against / around	Fahr nicht gegen den Baum!	Don't drive into the tree!
gehen	to go / walk	Wie geht's?	How are you?
gehören	to belong	Wem gehört das?	Who does that belong to?
das Geld	money	Hast du noch Geld?	Do you still have money?
das Gemüse	vegetables	Gemüse brauchen wir auch noch.	We also still need vegetables.
das Gepäck	luggage	Wollen Sie Ihr Gepäck mitnehmen?	Do you want to take your luggage?
gerade	just / right now / straight	Da kommt er ja gerade.	There he comes right now.
geradeaus	straight ahead	Gehen Sie immer geradeaus!	Keep going straight ahead!
gern(e)	gladly / like to	Ich gehe gerne einkaufen.	I like going shopping.
das Geschäft	shop / business	Die Geschäfte schließen um 18.30 Uhr.	The shops close at 6:30 pm.
das Geschenk	present / gift	Danke für das schöne Geschenk.	Thanks for the lovely present.
die Geschwister	siblings	Ich habe leider keine Geschwister.	Unfortunately I have no siblings.
das Gespräch	conversation	Das Gespräch mit Frau Kunz ist um 14 Uhr.	The meeting with Mrs Kunz is at 2 pm.
gestern	yesterday	Gestern war ich krank.	Yesterday I was ill.
gestorben	died / dead	Meine Frau ist gestern gestorben.	My wife died yesterday.
das Getränk	drink / beverage	Mein Lieblingsgetränk ist Tomatensaft.	My favourite drink is tomato juice.
das Gewicht	weight	Bei "Gewicht" schreibst du: 62 Kilo.	For "weight" you write: 62 kilos.
gewinnen	to win	Wer gewinnt das Spiel?	Who wins the game?
das Glas	glass	Bitte noch ein Glas Wein!	Another glass of wine, please!
glauben	to believe / think	Ich glaube, er kommt gleich.	I think he's coming soon.
gleich	same / immediately	Ich komme gleich.	I'm coming right away.
das Gleis	track / platform	Der ICE nach Berlin hält an Gleis 12.	The ICE to Berlin stops at platform 12.
das Glück	luck / happiness	Viel Glück!	Good luck!
glücklich	happy	Meine Kinder sind glücklich verheiratet.	My children are happily married.
der Glückwunsch	congratulation	Herzlichen Glückwunsch zum Geburtstag.	Happy birthday / congratulations.
Grad (Celsius)	degree	Heute haben wir dreißig Grad.	Today it's thirty degrees.
gratulieren	to congratulate	Ich gratuliere dir!	Congratulations! / I congratulate you!
grillen	to grill / barbecue	Heute grillen wir im Garten.	Today we're having a barbecue in the garden.
groß	big / tall	Frankfurt ist eine große Stadt.	Frankfurt is a big city.
die Größe	size	Haben Sie das auch in Größe 40?	Do you have this in size 40 too?
die Großeltern	grandparents	Meine Großeltern leben in Japan.	My grandparents live in Japan.
die Großmutter	grandmother	Meine Großmutter heißt Eva.	My grandmother is called Eva.
der Großvater	grandfather	Mein Großvater ist schon 80.	My grandfather is already 80.
die Gruppe	group	Die erste Gruppe beginnt um 16 Uhr.	The first group begins at 4 pm.
der Gruß	greeting	Viele Grüße an Ihre Frau.	Best wishes to your wife.
gültig	valid	Der Pass ist nicht mehr gültig.	The passport is no longer valid.
günstig	cheap / good value	Dort gibt es günstige Angebote.	There are good deals there.
gut	good / well	Das finde ich gut.	I think that's good.

--- H ---			
das Haar	hair	Sie hat lange Haare.	She has long hair.
haben	to have	Ich habe ein neues Auto.	I have a new car.
das Hähnchen	(roast) chicken	Ein Hähnchen mit Pommes bitte!	A chicken with fries, please!
die Halbpension	half board	Möchten Sie Vollpension oder Halbpension?	Would you like full board or half board?
die Halle	hall	Wir treffen uns in Halle B.	We'll meet in hall B.
hallo	hello / hi	Hallo Inge! Wie geht's?	Hi Inge! How are you?
halten	to stop / hold	Dieser Zug hält nicht in Rüdesheim.	This train doesn't stop in Rüdesheim.
die Haltestelle	(bus / tram) stop	An der nächsten Haltestelle müssen Sie aussteigen.	You have to get off at the next stop.
die Hand	hand	Er gibt mir die Hand.	He shakes my hand.
das Handy	mobile phone	In der Schule bitte die Handys ausmachen!	Please turn off mobile phones in school!
das Haus	house	In welchem Haus wohnst du?	Which house do you live in?
die Hausaufgabe	homework	Kannst du mir bei den Hausaufgaben helfen?	Can you help me with the homework?
die Hausfrau / der Hausmann	housewife / house-husband	Die Hausfrau wäscht, kocht und kauft ein.	The housewife washes, cooks and shops.
die Heimat	home / homeland	Ich komme aus der Schweiz. Das ist meine Heimat.	I come from Switzerland. That's my home.
heiraten	to marry	Meine Schwester heiratet einen Japaner.	My sister is marrying a Japanese man.
heißen	to be called	Ich heiße Charlotte Meier.	My name is Charlotte Meier.
helfen	to help	Können Sie mir helfen, bitte?	Can you help me, please?
hell	bright / light	Im Sommer ist es bis 21 Uhr hell.	In summer it's light until 9 pm.
der Herd	stove / cooker	In der neuen Küche fehlt noch der Herd.	The stove is still missing in the new kitchen.
der Herr	Mr / gentleman	Guten Tag, Herr Sommer!	Hello, Mr Sommer!
herzlich	warm / cordial	Herzlichen Glückwunsch!	Warm congratulations!
heute	today	Heute ist ein schöner Tag.	Today is a nice day.
hier	here	Hier wohne ich.	I live here.
die Hilfe	help	Hilfe! Bitte helfen Sie mir!	Help! Please help me!
hinten	at the back / behind	Die Tür zum Aussteigen ist hinten.	The door to get off is at the back.
das Hobby	hobby	Meine Hobbys sind Wandern und Schwimmen.	My hobbies are hiking and swimming.
hoch	high / tall	Der Mount Everest ist 8.880 Meter hoch.	Mount Everest is 8,880 metres high.
die Hochzeit	wedding	Zu dieser Hochzeit kommen mehr als fünfzig Gäste.	More than fifty guests are coming to this wedding.
holen	to fetch / get	Ich hole zwei Flaschen Wasser aus der Küche.	I'll get two bottles of water from the kitchen.
hören	to hear / listen	Hör mal! Was ist das?	Listen! What's that?
das Hotel	hotel	Im Urlaub sind wir in einem Hotel am Meer.	On holiday we stay in a hotel by the sea.
der Hund	dog	Der Hund ist noch jung.	The dog is still young.
der Hunger	hunger	Ich habe Hunger! Wann ist das Essen fertig?	I'm hungry! When is the food ready?

--- I ---			
ich	I	Ich heiße Veronika.	My name is Veronika.
ihr / ihm / ihn	her / him	Gib ihr / ihm bitte das Buch.	Please give her / him the book.
immer	always	Frau Bast kommt immer zu spät.	Mrs Bast is always late.
in	in / into	Ich wohne in Wiesbaden.	I live in Wiesbaden.
die Information	information	Wenn Sie Fragen haben, gehen Sie zur Information.	If you have questions, go to the information desk.
international	international	Unser Deutschkurs ist international.	Our German course is international.
das Internet	internet	Das findest du im Internet.	You'll find that on the internet.

--- J ---			
ja	yes	Sind Sie Herr Watanabe? - Ja.	Are you Mr Watanabe? - Yes.
die Jacke	jacket	Zieh dir eine Jacke an. Es ist kalt.	Put on a jacket. It's cold.
jed-	each / every	Blumen kannst du in jedem Bahnhof kaufen.	You can buy flowers at every station.
jetzt	now	Jetzt machen wir eine Pause.	Now we'll take a break.
der Job	job	Jenny hat einen neuen Job bei der Post.	Jenny has a new job at the post office.
der Jugendliche	teenager / young person	Viele Jugendliche kaufen gern ein.	Many young people like shopping.
jung	young	Claudia ist 21. - Was? Noch so jung?	Claudia is 21. - What? So young?
der Junge	boy	Ich habe zwei Kinder, einen Jungen und ein Mädchen.	I have two children, a boy and a girl.

--- K ---			
der Kaffee	coffee	Zum Frühstück trinke ich immer Kaffee.	I always drink coffee for breakfast.
kaputt	broken	Es geht sehr leicht kaputt.	It breaks very easily.
die Karte	card / ticket / menu	Wollen wir Karten spielen?	Shall we play cards?
die (Kredit)Karte	(credit) card	Kann ich auch mit Karte (be)zahlen?	Can I also pay by card?
die Kartoffel	potato	Für Pommes frites braucht man Kartoffeln.	For chips you need potatoes.
die Kasse	checkout / till	Zahlen Sie bitte an der Kasse.	Please pay at the checkout.
