Deutsches Wort (German)	Bedeutung (English)	Beispielsatz (German)	Übersetzung (English)	Markiert (1/0)
kaputt	broken	Es geht sehr leicht kaputt.	It breaks very easily.	1
die Mutter	mother	Frau Berghäuser ist die Mutter von Michaela.	Mrs Berghäuser is Michaela's mother.	0
einsteigen	to get in / board	Schnell, steig ein, der Zug fährt gleich.	Quick, get in, the train leaves in a moment.	1
der Arbeitsplatz	workplace / job	An meinem Arbeitsplatz fehlt ein Drucker.	At my workplace a printer is missing.	1
schlafen	to sleep	Ich schlafe meistens acht Stunden.	I usually sleep eight hours.	1
der Gruß	greeting	Viele Grüße an Ihre Frau.	Best wishes to your wife.	1
entschuldigen	to excuse	Entschuldigen Sie bitte!	Excuse me, please!	1
die Kleidung	clothing	Wo finde ich Kleidung?	Where do I find clothing?	1
fernsehen	to watch TV	Wollen wir heute Abend mal fernsehen?	Shall we watch TV tonight?	1
der Bahnsteig	platform	Auf welchem Bahnsteig fährt der Zug?	Which platform does the train leave from?	1
der Verein	club / association	Es gibt einen neuen Sportverein in der Stadt.	There's a new sports club in town.	1
die Oma	grandma	Meine Oma ist schon tot.	My grandma has already died.	1
die Hausfrau / der Hausmann	housewife / house-husband	Die Hausfrau wäscht, kocht und kauft ein.	The housewife washes, cooks and shops.	1
fliegen	to fly	Ich fliege nicht gern.	I don't like flying.	1
möchten	would like	Was möchten Sie trinken?	What would you like to drink?	1
der Ort	place / town	Der Ort liegt am Meer.	The place is by the sea.	1
die Unterschrift	signature	Hier fehlt noch Ihre Unterschrift.	Your signature is still missing here.	1
das Land	country / land	Italien ist ein schönes Land.	Italy is a beautiful country.	0
die Haltestelle	(bus / tram) stop	An der nächsten Haltestelle müssen Sie aussteigen.	You have to get off at the next stop.	1
der Schuh	shoe	Zieh die Schuhe aus!	Take off your shoes!	1
vermieten	to rent out / let	Die Wohnung ist schon vermietet.	The flat is already rented out.	1
lieben	to love	Ich liebe dich!	I love you!	1
geöffnet	open	Der Laden ist samstags bis 16 Uhr geöffnet.	The shop is open on Saturdays until 4 pm.	1
der Schlüssel	key	Ich gebe Ihnen den Zimmerschlüssel.	I'll give you the room key.	1
der Fehler	mistake / error	Diesen Fehler mache ich immer.	I always make this mistake.	1
hoch	high / tall	Der Mount Everest ist 8.880 Meter hoch.	Mount Everest is 8,880 metres high.	1
das Bein	leg	Mein rechtes Bein tut weh.	My right leg hurts.	1
der Flughafen	airport	Kannst du mich zum Flughafen bringen?	Can you take me to the airport?	0
bitten	to ask (for) / request	Darf ich Sie um etwas bitten?	May I ask you for something?	1
der Preis	price / prize	Die Preise sind hoch.	The prices are high.	0
kriegen	to get (colloquial)	Ich kriege 15 Euro in der Stunde.	I get 15 euros an hour.	0
was für ein	what kind of	Was für eine Farbe möchten Sie?	What colour would you like?	0
das Flugzeug	aeroplane	Das Flugzeug aus Berlin kommt heute später an.	The plane from Berlin arrives later today.	0
männlich	male	"Kreuzen Sie an: ""weiblich"" oder ""männlich""."	"Tick: ""female"" or ""male""."	0
geboren	born	Ich bin in Zagreb geboren.	I was born in Zagreb.	0
an sein	to be on (switched on)	Heute Nacht war das Licht an.	Last night the light was on.	0
die Straßenbahn	tram	Wo fährt die Straßenbahn ab?	Where does the tram leave from?	0
der Hunger	hunger	Ich habe Hunger! Wann ist das Essen fertig?	I'm hungry! When is the food ready?	0
gehen	to go / walk	Wie geht's?	How are you?	0
besuchen	to visit	Darf ich dich besuchen?	May I visit you?	0
das Wasser	water	Ein Glas Wasser, bitte.	A glass of water, please.	0
der Herd	stove / cooker	In der neuen Küche fehlt noch der Herd.	The stove is still missing in the new kitchen.	0
Sie	you (formal)	Wie heißen Sie, bitte?	What is your name, please?	0
wo	where	Wo ist die Post?	Where is the post office?	0
sehen	to see	Ich kann dich nicht sehen.	I can't see you.	0
hören	to hear / listen	Hör mal! Was ist das?	Listen! What's that?	0
beginnen	to begin / start	Das Spiel beginnt um 15.30 Uhr.	The game begins at 3:30 pm.	0
das Schwimmbad	swimming pool	Kommst du mit ins Schwimmbad?	Are you coming to the pool?	0
der Lkw	truck / lorry	Dieser Lastkraftwagen ist sehr groß.	This truck is very big.	0
das Doppelzimmer	double room	Wollen Sie ein Doppelzimmer oder ein Einzelzimmer?	Do you want a double or a single room?	0
zahlen	to pay	Zahlen, bitte!	The bill, please!	0
der Zoll	customs	Wir müssen noch durch den Zoll.	We still have to go through customs.	0
der Moment	moment	Moment mal bitte!	Just a moment, please!	0
(sich) freuen	to be glad / look forward to	Ich freue mich auf den Urlaub.	I'm looking forward to the holiday.	0
die Zeitung	newspaper	Ich lese gern Zeitung.	I like reading the newspaper.	0
der Ausflug	excursion / trip	Morgen machen wir einen Ausflug nach Heidelberg.	Tomorrow we're going on a trip to Heidelberg.	0
der Regen	rain	Bei diesem Regen gehe ich nicht raus.	In this rain I'm not going out.	0
dauern	to last / take (time)	Wie lange dauert der Film?	How long does the film last?	0
der Bleistift	pencil	Hast du einen Bleistift?	Do you have a pencil?	0
bekannt	well-known / famous	Picasso ist sehr bekannt.	Picasso is very famous.	0
das Hotel	hotel	Im Urlaub sind wir in einem Hotel am Meer.	On holiday we stay in a hotel by the sea.	0
das Gewicht	weight	"Bei ""Gewicht"" schreibst du: 62 Kilo."	"For ""weight"" you write: 62 kilos."	0
die Anrede	form of address / salutation	Schreiben Sie auch eine Anrede und einen Gruß.	Also write a salutation and a greeting.	0
wunderbar	wonderful	Das Essen schmeckt wunderbar.	The food tastes wonderful.	0
ander-	other	Nein, ich möchte die andere.	No, I'd like the other one.	0
zu	to / too / closed	Der Bus fährt zum Bahnhof.	The bus goes to the station.	0
das Buch	book	Gute Bücher sind oft sehr teuer.	Good books are often very expensive.	0
die Autobahn	motorway / highway	Wo geht's hier bitte zur Autobahn?	How do I get to the motorway from here, please?	0
antworten	to answer	Er antwortet nicht.	He doesn't answer.	0
enden	to end	Die Straße endet hier.	The street ends here.	0
die Karte	card / ticket / menu	Wollen wir Karten spielen?	Shall we play cards?	0
noch	still / yet	Ich habe noch 20 Euro.	I still have 20 euros.	0
übernachten	to stay overnight	Du kannst bei mir übernachten.	You can stay overnight at my place.	0
das Haar	hair	Sie hat lange Haare.	She has long hair.	0
die Kartoffel	potato	Für Pommes frites braucht man Kartoffeln.	For chips you need potatoes.	0
das Foto	photo	Darf ich ein Foto machen?	May I take a photo?	0
an	at / on / to	Wir treffen uns am Bahnhof.	We'll meet at the station.	0
die Halbpension	half board	Möchten Sie Vollpension oder Halbpension?	Would you like full board or half board?	0
anfangen	to begin / start	Der Unterricht fängt gleich an.	The class starts soon.	0
das Glas	glass	Bitte noch ein Glas Wein!	Another glass of wine, please!	0
die Halle	hall	Wir treffen uns in Halle B.	We'll meet in hall B.	0
nach	to / after / past	Ich fliege nach München.	I'm flying to Munich.	0
der Teil	part	Lies bitte auch den zweiten Teil.	Please also read the second part.	0
wie	how / like / as	Wie heißt du?	What's your name?	0
erzählen	to tell / narrate	Wir müssen euch etwas erzählen!	We have to tell you something!	0
bekommen	to get / receive	Haben Sie meinen Brief bekommen?	Did you get my letter?	0
die Auskunft	information	Können Sie mir eine Auskunft geben?	Can you give me some information?	0
ja	yes	Sind Sie Herr Watanabe? - Ja.	Are you Mr Watanabe? - Yes.	0
gestern	yesterday	Gestern war ich krank.	Yesterday I was ill.	0
die Ecke	corner	An der nächsten Ecke links.	Left at the next corner.	0
ankreuzen	to mark with a cross / tick	Auf dem Formular müssen Sie etwas ankreuzen.	On the form you have to tick something.	0
normal	normal	Sein Gewicht ist normal.	His weight is normal.	0
anklicken	to click (on)	Da musst du dieses Wort anklicken.	You have to click on this word there.	0
der Chef	boss	Wir haben eine neue Chefin.	We have a new boss.	0
vielleicht	maybe / perhaps	Ich komme vielleicht mit dem Bus.	Maybe I'll come by bus.	0
die Bäckerei	bakery	Ich geh mal schnell zur Bäckerei.	I'll just pop to the bakery.	0
besser	better	Es geht mir schon besser.	I'm feeling better already.	0
der Glückwunsch	congratulation	Herzlichen Glückwunsch zum Geburtstag.	Happy birthday / congratulations.	0
unter	under / among	Unter uns wohnt eine Familie mit drei Kindern.	Below us lives a family with three children.	0
meist-	most	Die meisten Norddeutschen sind sehr groß.	Most northern Germans are very tall.	0
aus	from / out of / off	Er kommt aus Brasilien.	He comes from Brazil.	0
die Stadt	city / town	Heidelberg ist eine alte Stadt.	Heidelberg is an old city.	0
geben	to give	Kannst du mir deinen Kugelschreiber geben?	Can you give me your pen?	0
wann	when	Wann bist du fertig?	When are you ready?	0
regnen	to rain	Heute regnet es.	It's raining today.	0
der Laden	shop / store	Im Buchladen können Sie Bücher kaufen.	In the bookshop you can buy books.	0
dies-	this	Ich nehme lieber diesen Kuchen.	I'd rather have this cake.	0
die Disco	disco / club	Heute Abend gehen wir in die Disco tanzen.	Tonight we're going dancing at the club.	0
der Abflug	departure (flight)	Der Abflug ist um 11.20 Uhr.	The departure is at 11:20.	0
der Freund	friend	Das ist ein Freund von mir.	That's a friend of mine.	0
das Gleis	track / platform	Der ICE nach Berlin hält an Gleis 12.	The ICE to Berlin stops at platform 12.	0
das Ende	end	Sie wohnt am Ende der Straße.	She lives at the end of the street.	0
der Kuchen	cake	Ich nehme ein Stück Kuchen.	I'll have a piece of cake.	0
das Lied	song	Welches ist dein Lieblingslied?	Which is your favourite song?	0
das Formular	form	Sie müssen dieses Formular ausfüllen.	You have to fill in this form.	0
schon	already	Ist das Essen schon fertig?	Is the food ready already?	0
der Ausweis	ID card	Hier ist mein Ausweis.	Here is my ID.	0
der Unterricht	lessons / class	Wir haben Unterricht von 8 bis 12 Uhr.	We have class from 8 am to 12 pm.	0
heute	today	Heute ist ein schöner Tag.	Today is a nice day.	0
weiblich	female	"Kreuzen Sie an: ""weiblich"" oder ""männlich""."	"Tick: ""female"" or ""male""."	0
abgeben	to hand in / hand over	Ich muss meine Schlüssel abgeben.	I have to hand in my keys.	0
das Studium	studies	Das Studium beginnt im Oktober.	The studies begin in October.	0
hallo	hello / hi	Hallo Inge! Wie geht's?	Hi Inge! How are you?	0
die Antwort	answer	Er gibt leider keine Antwort.	Unfortunately he gives no answer.	0
studieren	to study (at university)	Ich studiere in Mainz.	I study in Mainz.	0
der Kugelschreiber	(ballpoint) pen	Hast du einen Kugelschreiber für mich?	Do you have a pen for me?	0
das Lokal	pub / restaurant	In unserer Straße gibt es ein neues Lokal.	There's a new pub in our street.	0
das Ticket	ticket	Wie viel kostet das Ticket?	How much does the ticket cost?	0
die Information	information	Wenn Sie Fragen haben, gehen Sie zur Information.	If you have questions, go to the information desk.	0
der Kollege	colleague	Wie heißt die neue Kollegin?	What's the new colleague's name?	0
ab	from / starting from	Ab morgen muss ich arbeiten.	From tomorrow I have to work.	0
das Telefon	telephone	Haben Sie Telefon?	Do you have a telephone?	0
bitte	please / you're welcome	Eine Tasse Kaffee, bitte!	A cup of coffee, please!	0
abfahren	to depart / leave	Wir fahren um zwölf Uhr ab.	We leave at twelve o'clock.	0
mit	with / by	Trinken Sie den Kaffee mit Milch?	Do you take your coffee with milk?	0
der Empfänger	recipient / addressee	Auf dem Brief steht dein Name, also bist du der Empfänger.	Your name is on the letter, so you're the recipient.	0
die Mitte	middle / centre	Der Lehrer steht in der Mitte des Klassenzimmers.	The teacher stands in the middle of the classroom.	0
werden	to become / will	Mein Sohn will Arzt werden.	My son wants to become a doctor.	0
dort	there	Dort ist unser Haus.	There is our house.	0
benutzen	to use	Die Aufzüge bitte nicht benutzen!	Please do not use the lifts!	0
die Klasse	class	In unserer Klasse sind fünfundzwanzig Schüler.	There are twenty-five pupils in our class.	0
der Bauch	belly / stomach	Seit gestern tut mir der Bauch weh.	My stomach has hurt since yesterday.	0
woher	where from	Woher kommen Sie?	Where do you come from?	0
der Vorname	first name	Ich heiße Müller, mein Vorname ist Eva.	My name is Müller, my first name is Eva.	0
die Vorsicht	caution / care	Vorsicht! Da kommt ein Auto.	Careful! There's a car coming.	0
der Opa	grandpa	Mein Opa heißt Hans.	My grandpa is called Hans.	0
die Jacke	jacket	Zieh dir eine Jacke an. Es ist kalt.	Put on a jacket. It's cold.	0
der Bus	bus	Wann kommt der nächste Bus?	When does the next bus come?	0
die S-Bahn	city train / S-Bahn	Ich nehme lieber die S-Bahn.	I'd rather take the S-Bahn.	0
die Geschwister	siblings	Ich habe leider keine Geschwister.	Unfortunately I have no siblings.	0
bringen	to bring	Bringen Sie mir bitte noch einen Kaffee!	Please bring me another coffee!	0
ruhig	quiet / calm	Ich möchte ein ruhiges Zimmer.	I'd like a quiet room.	0
der Blick	view / look	Von diesem Hotel hat man einen guten Blick auf den Rhein.	From this hotel you have a good view of the Rhine.	0
das Geschenk	present / gift	Danke für das schöne Geschenk.	Thanks for the lovely present.	0
tun	to do	Ich habe noch etwas zu tun.	I still have something to do.	0
zum Beispiel	for example	Viele meiner Verwandten, z. B. meine Brüder, arbeiten hier.	Many of my relatives, e.g. my brothers, work here.	0
ausmachen	to switch off	Mach bitte das Licht aus!	Please turn off the light!	0
der Sohn	son	Das ist Hans, mein Sohn.	This is Hans, my son.	0
die Aufgabe	task / exercise	Das ist eine schwere Aufgabe.	That's a difficult task.	0
die Speisekarte	menu	Bringen Sie mir die Speisekarte, bitte.	Bring me the menu, please.	0
das Essen	food / meal	Das Essen ist heute sehr gut.	The food is very good today.	0
all-	all / everything	Alles Gute!	All the best!	0
der Mensch	person / human	Die Menschen sind hier anders als bei uns.	The people here are different from us.	0
sich	oneself	Sie müssen sich erst anmelden.	You have to register first.	0
die Hausaufgabe	homework	Kannst du mir bei den Hausaufgaben helfen?	Can you help me with the homework?	0
der Bahnhof	(train) station	Komme ich hier zum Bahnhof?	Will I get to the station this way?	0
zwischen	between	Heidelberg liegt zwischen Frankfurt und Stuttgart.	Heidelberg is between Frankfurt and Stuttgart.	0
die Zigarette	cigarette	Wie teuer sind die Zigaretten?	How expensive are the cigarettes?	0
der Job	job	Jenny hat einen neuen Job bei der Post.	Jenny has a new job at the post office.	0
das Geschäft	shop / business	Die Geschäfte schließen um 18.30 Uhr.	The shops close at 6:30 pm.	0
das Bier	beer	Noch ein Bier bitte.	Another beer, please.	0
der Tee	tea	Ich trinke morgens immer Tee.	I always drink tea in the morning.	0
arbeiten	to work	Wo arbeiten Sie?	Where do you work?	0
stehen	to stand / be (written)	Der Bus steht schon an der Haltestelle.	The bus is already at the stop.	0
wissen	to know (a fact)	Weißt du, wie er heißt?	Do you know what his name is?	0
der Schinken	ham	Ich möchte gern ein Schinkenbrot.	I'd like a ham sandwich.	0
kennen	to know (be familiar with)	Kennen Sie diese Frau?	Do you know this woman?	0
der Anfang	beginning	Sie wohnt am Anfang der Straße.	She lives at the beginning of the street.	0
das Geburtsjahr	year of birth	Das Geburtsjahr Ihres Sohnes, bitte?	Your son's year of birth, please?	0
der Kindergarten	kindergarten	Die kleine Laura geht schon in den Kindergarten.	Little Laura already goes to kindergarten.	0
die Briefmarke	stamp	Kaufst du bitte Briefmarken bei der Post.	Please buy stamps at the post office.	0
langsam	slow(ly)	Könnten Sie bitte etwas langsamer sprechen?	Could you please speak a little more slowly?	0
der Geburtsort	place of birth	Bitte schreiben Sie Ihren Geburtsort auf das Formular.	Please write your place of birth on the form.	0
lieber	rather / prefer	Sie fährt lieber mit der Bahn.	She prefers to travel by train.	0
zufrieden	satisfied / content	Ich bin mit der Wohnung zufrieden.	I'm satisfied with the flat.	0
einfach	simple / single	Die Prüfung ist ganz einfach.	The exam is quite easy.	0
(sich) waschen	to wash	Wo kann ich mir die Hände waschen?	Where can I wash my hands?	0
Feier-	celebration / holiday (prefix)	Am Montag ist Feiertag.	Monday is a public holiday.	0
abfliegen	to take off / depart (flight)	Wann fliegst du ab?	When do you fly off?	0
der Urlaub	holiday / vacation	Ich nehme im September Urlaub.	I'm taking holiday in September.	0
herzlich	warm / cordial	Herzlichen Glückwunsch!	Warm congratulations!	0
der Garten	garden	Wir haben leider keinen Garten.	Unfortunately we don't have a garden.	0
durch	through	Am besten gehen Sie durch die Breite Straße.	It's best to go through Breite Straße.	0
viel	much / a lot	Hier regnet es viel.	It rains a lot here.	0
(sich) treffen	to meet	Wir treffen uns immer freitags.	We always meet on Fridays.	0
(sich) anmelden	to register / sign up	Wo kann ich mich anmelden?	Where can I register?	0
aufhören	to stop / end	Der Kurs hört in einer Woche auf.	The course ends in a week.	0
zu sein	to be closed	Die Tür ist zu.	The door is closed.	0
der Beamte	official / civil servant	Fragen Sie die Beamtin an Schalter acht!	Ask the official at counter eight!	0
die Schwester	sister	Meine Schwester kommt am Dienstag.	My sister is coming on Tuesday.	0
umziehen	to move (house)	Nächsten Monat ziehen wir um.	Next month we're moving.	0
welch-	which	Welches Buch möchtest du?	Which book would you like?	0
mehr	more	Dieses Auto kostet 1.000 Euro mehr als das andere.	This car costs 1,000 euros more than the other one.	0
anrufen	to call / phone	Kann man Sie anrufen?	Can one call you?	0
ohne	without	Ohne Geld kann er nichts kaufen.	Without money he can't buy anything.	0
das Leben	life	Das Leben in diesem Land ist teuer.	Life in this country is expensive.	0
laut	loud	Nicht so laut! Das Baby schläft.	Not so loud! The baby is sleeping.	0
die Stunde	hour / lesson	Ich bin in einer Stunde zurück.	I'll be back in an hour.	0
heiraten	to marry	Meine Schwester heiratet einen Japaner.	My sister is marrying a Japanese man.	0
ihr / ihm / ihn	her / him	Gib ihr / ihm bitte das Buch.	Please give her / him the book.	0
die Stelle	position / place / job	Ich habe eine neue Stelle.	I have a new job.	0
mögen	to like	Magst du Kaffee oder Tee?	Do you like coffee or tea?	0
holen	to fetch / get	Ich hole zwei Flaschen Wasser aus der Küche.	I'll get two bottles of water from the kitchen.	0
die Leute	people	In der Disko sind viele Leute.	There are many people at the club.	0
die Fahrkarte	ticket	Hast du schon eine Fahrkarte?	Do you already have a ticket?	0
ausländisch	foreign	Leider habe ich nur ausländisches Geld.	Unfortunately I only have foreign money.	0
dann	then	Ich muss noch zur Post, dann komme ich.	I still have to go to the post office, then I'll come.	0
mitbringen	to bring along	Soll ich dir was mitbringen?	Shall I bring you something?	0
das Fahrrad	bicycle	Fährst du mit dem Fahrrad oder mit dem Auto?	Are you going by bike or by car?	0
mitkommen	to come along	Ich gehe ins Kino. Kommst du mit?	I'm going to the cinema. Are you coming along?	0
auch	also / too	Ich bin auch Spanier.	I'm Spanish too.	0
neu	new	Ich bin der neue Kollege.	I'm the new colleague.	0
der/die Bekannte	acquaintance	Ein Bekannter von mir heißt Klaus.	An acquaintance of mine is called Klaus.	0
ein-	a / one	Ich nehme ein Bier. Willst du auch eins?	I'll have a beer. Do you want one too?	0
oben	up / above / upstairs	Ich wohne oben.	I live upstairs.	0
das Salz	salt	Kann ich bitte Salz haben?	Can I have some salt, please?	0
(sich) ausziehen	to take off / get undressed	Zieh die Schuhe aus, bitte!	Take off your shoes, please!	0
verstehen	to understand	Können Sie mich verstehen?	Can you understand me?	0
Achtung	attention / watch out	Achtung! Das dürfen Sie nicht tun.	Attention! You must not do that.	0
verboten	forbidden	Hier ist Rauchen verboten.	Smoking is forbidden here.	0
richtig	correct / right	Das ist richtig.	That's correct.	0
der Beruf	job / profession	Was sind Sie von Beruf?	What is your profession?	0
das Baby	baby	Mein Kind ist noch ein Baby.	My child is still a baby.	0
der Erwachsene	adult	Dieser Film ist nur für Erwachsene.	This film is only for adults.	0
die Großmutter	grandmother	Meine Großmutter heißt Eva.	My grandmother is called Eva.	0
auf sein	to be open	Die Wohnung ist auf.	The flat is open.	0
laufen	to run / walk	Ich möchte nicht Auto fahren, ich möchte laufen.	I don't want to drive, I want to walk.	0
die Dame	lady	Sehr geehrte Damen und Herren!	Dear ladies and gentlemen!	0
der Verkäufer	salesperson / shop assistant	Meine Mutter ist Verkäuferin im Kaufhaus.	My mother is a shop assistant in the department store.	0
zurück	back	Einmal Frankfurt und zurück.	One return ticket to Frankfurt.	0
der Fahrer	driver	Bitte nicht mit dem Fahrer sprechen!	Please do not talk to the driver!	0
Grad (Celsius)	degree	Heute haben wir dreißig Grad.	Today it's thirty degrees.	0
lachen	to laugh	Die Kinder lachen viel.	The children laugh a lot.	0
groß	big / tall	Frankfurt ist eine große Stadt.	Frankfurt is a big city.	0
der, die, das	the / that one	Hier ist der Brief, den du suchst.	Here is the letter you're looking for.	0
der Koffer	suitcase	Ist das Ihr Koffer?	Is that your suitcase?	0
ankommen	to arrive	Wann kommt dieser Zug in Hamburg an?	When does this train arrive in Hamburg?	0
die Eltern	parents	Meine Eltern leben in Spanien.	My parents live in Spain.	0
der Computer	computer	Wann bekommst du deinen neuen Computer?	When do you get your new computer?	0
danken	to thank	Ich danke Ihnen für die Einladung.	I thank you for the invitation.	0
frühstücken	to have breakfast	Am Sonntag frühstücke ich gern im Bett.	On Sundays I like to have breakfast in bed.	0
ledig	single (unmarried)	Sind Sie verheiratet? - Nein. Ledig.	Are you married? - No. Single.	0
wichtig	important	Dieses Formular ist sehr wichtig.	This form is very important.	0
lang	long	Die Jeans ist zu lang.	The jeans are too long.	0
hell	bright / light	Im Sommer ist es bis 21 Uhr hell.	In summer it's light until 9 pm.	0
das Meer	sea	Wir machen Urlaub am Meer.	We're going on holiday by the sea.	0
jetzt	now	Jetzt machen wir eine Pause.	Now we'll take a break.	0
das Dorf	village	Meine Familie lebt in einem Dorf.	My family lives in a village.	0
heißen	to be called	Ich heiße Charlotte Meier.	My name is Charlotte Meier.	0
der Salat	salad	Wie schmeckt dir der Salat?	How do you like the salad?	0
die Tochter	daughter	Das ist meine Tochter Katharina.	This is my daughter Katharina.	0
der Prospekt	brochure / leaflet	Bitte schicken Sie mir einen Prospekt.	Please send me a brochure.	0
die Ehefrau / der Ehemann	wife / husband	Das ist mein (Ehe-)Mann / meine (Ehe-)Frau.	This is my husband / my wife.	0
teuer	expensive	Das ist mir zu teuer.	That's too expensive for me.	0
reisen	to travel	Ich reise gern.	I like to travel.	0
gern(e)	gladly / like to	Ich gehe gerne einkaufen.	I like going shopping.	0
fahren	to drive / travel / go	Ich fahre mit dem Auto zur Arbeit.	I drive to work by car.	0
